specialite_1,specialite_2,of,pct_multi,stag_mean_tam
"Electricité, électronique (non compris automatisme et productique)","Ressources humaines, gestion du personnel, gestion de l'emploi",41,0.1376855396601518,1715.5
"Agro-alimentaire, alimentation, cuisine","Productions animales, élevage spécialisé, aquaculture, ...",41,0.1376855396601518,446.42857142857144
"Droit, sciences politiques",Santé,40,0.13432735576600174,233.5
Autres...,Spécialités plurivalentes des échanges et de la gestion,40,0.13432735576600174,144.0
Bâtiment: finitions,"Commerce, vente",40,0.13432735576600174,92.5
"Spécialités pluritechnologiques, génie civil, construction, bois","Transport, manutention, magasinage",40,0.13432735576600174,1052.75
"Agro-alimentaire, alimentation, cuisine","Informatique, traitement de l'information, réseaux de transmission des données",40,0.13432735576600174,249.53333333333333
"Agro-alimentaire, alimentation, cuisine",Spécialités plurivalentes sanitaires et sociales,39,0.1309691718718517,59.0
"Agro-alimentaire, alimentation, cuisine","Nettoyage, assainissement, protection de l'environnement",39,0.1309691718718517,700.5
Spécialités concernant plusieurs capacités,Spécialités plurivalentes de la communication,39,0.1309691718718517,329.6666666666667
Linguistique,"Transport, manutention, magasinage",39,0.1309691718718517,258.4166666666667
Formations générales,"Productions végétales,cultures spécialisées",39,0.1309691718718517,97.0
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités plurivalentes des services,38,0.12761098797770165,275.6666666666667
Autres...,"Finances, banque, assurances",38,0.12761098797770165,658.0
Autres...,Spécialités plurivalentes des services,38,0.12761098797770165,141.0
Bâtiment: construction et couverture,"Commerce, vente",38,0.12761098797770165,152.0
"Droit, sciences politiques",Développement des capacités comportementales et relationnelles,38,0.12761098797770165,206.5
"Sciences sociales (y compris démographie, anthropologie)",Travail social,38,0.12761098797770165,416.0
Formations générales,Spécialités concernant plusieurs capacités,38,0.12761098797770165,386.0
"Commerce, vente",Spécialités plurivalentes de l'agronomie et de l'agriculture,38,0.12761098797770165,62.666666666666664
Développement des capacités mentales et apprentissages de base,Spécialités concernant plusieurs capacités,37,0.1242528040835516,357.6666666666667
"Comptabilité, gestion",Développement des capacités individuelles d'organisation,37,0.1242528040835516,88.33333333333333
Autres...,Spécialités concernant plusieurs capacités,37,0.1242528040835516,0.0
Autres...,Pratiques sportives,37,0.1242528040835516,165.5
Bâtiment: finitions,Formations générales,37,0.1242528040835516,138.25
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités plurivalentes de la communication,37,0.1242528040835516,1513.0
Géographie,Histoire,37,0.1242528040835516,0.0
"Mines et carrières, génie civil, topographie","Spécialités pluritechnologiques, génie civil, construction, bois",37,0.1242528040835516,523.3333333333334
"Agro-alimentaire, alimentation, cuisine",Spécialités plurivalentes de l'agronomie et de l'agriculture,37,0.1242528040835516,333.0
Formations générales,Spécialités plurivalentes de l'agronomie et de l'agriculture,37,0.1242528040835516,126.14285714285714
Formations générales,Journalisme et communication,37,0.1242528040835516,99.88888888888889
"Spécialités pluridisciplinaires, sciences humaines et droit",Spécialités plurivalentes de la communication,36,0.12089462018940156,122.6
"Enseignement, formation",Spécialités concernant plusieurs capacités,36,0.12089462018940156,322.8
"Droit, sciences politiques","Enseignement, formation",36,0.12089462018940156,49.25
"Commerce, vente","Habillement (y compris mode, couture)",36,0.12089462018940156,129.0
"Commerce, vente","Spécialités plutitechnologiques, mécanique-électricité",36,0.12089462018940156,289.8
"Accueil, hôtellerie, tourisme",Développement des capacités comportementales et relationnelles,36,0.12089462018940156,471.0
"Accueil, hôtellerie, tourisme",Formations générales,36,0.12089462018940156,224.85714285714286
"Secrétariat, bureautique","Techniques de l'image et du son, métiers connexes du spectacle",35,0.11753643629525151,57.666666666666664
"Comptabilité, gestion",Santé,35,0.11753643629525151,107.8
Spécialités plurivalentes de la communication,Techniques de l'imprimerie et de l'édition,35,0.11753643629525151,134.33333333333334
Travail social,"Vie familiale, vie sociale et autres formations au développement personnel",35,0.11753643629525151,66.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Formations générales,35,0.11753643629525151,89.0
"Animation culturelle, sportive et de loisirs",Développement des capacités comportementales et relationnelles,35,0.11753643629525151,173.5
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Linguistique,35,0.11753643629525151,298.6666666666667
Spécialités concernant plusieurs capacités,Spécialités plurivalentes des échanges et de la gestion,34,0.11417825240110148,196.5
Formations générales,"Vie familiale, vie sociale et autres formations au développement personnel",34,0.11417825240110148,106.625
"Comptabilité, gestion","Sécurité des biens et des personnes, police, surveillance",34,0.11417825240110148,251.58333333333334
"Agro-alimentaire, alimentation, cuisine","Secrétariat, bureautique",34,0.11417825240110148,122.11111111111111
"Documentation, bibliothèques, administration des données","Secrétariat, bureautique",33,0.11082006850695145,41.0
Développement des capacités individuelles d'organisation,"Secrétariat, bureautique",33,0.11082006850695145,49.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Journalisme et communication,33,0.11082006850695145,0.0
"Energie, génie climatique",Technologies industrielles fondamentales,33,0.11082006850695145,345.3333333333333
Psychologie,"Spécialités pluridisciplinaires, sciences humaines et droit",33,0.11082006850695145,246.33333333333334
Santé,"Vie familiale, vie sociale et autres formations au développement personnel",33,0.11082006850695145,719.6666666666666
"Français, littérature et civilisation françaises","Informatique, traitement de l'information, réseaux de transmission des données",33,0.11082006850695145,137.14285714285714
Economie,"Spécialités pluridisciplinaires, sciences humaines et droit",33,0.11082006850695145,99.5
"Français, littérature et civilisation françaises","Secrétariat, bureautique",33,0.11082006850695145,160.0
Développement des capacités comportementales et relationnelles,"Musique, arts du spectacle",33,0.11082006850695145,69.0
"Comptabilité, gestion","Spécialités pluridisciplinaires, sciences humaines et droit",33,0.11082006850695145,279.625
"Electricité, électronique (non compris automatisme et productique)",Technologies de commandes des transformations industrielles,33,0.11082006850695145,228.9
"Animation culturelle, sportive et de loisirs",Spécialités plurivalentes sanitaires et sociales,33,0.11082006850695145,134.2
Développement des capacités individuelles d'organisation,"Vie familiale, vie sociale et autres formations au développement personnel",32,0.1074618846128014,70.5
Autres...,"Techniques de l'image et du son, métiers connexes du spectacle",32,0.1074618846128014,35.5
Bâtiment: finitions,"Spécialités pluritechnologiques, génie civil, construction, bois",32,0.1074618846128014,159.75
Autres...,Economie,32,0.1074618846128014,73.0
Développement des capacités mentales et apprentissages de base,Santé,32,0.1074618846128014,408.25
Linguistique,Spécialités plurivalentes des échanges et de la gestion,32,0.1074618846128014,113.2
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Secrétariat, bureautique",32,0.1074618846128014,365.0
Formations générales,Pratiques sportives,32,0.1074618846128014,57.5
"Aménagement paysager (parcs, jardins, espaces verts)","Productions animales, élevage spécialisé, aquaculture, ...",32,0.1074618846128014,179.33333333333334
"Langues vivantes, civilisations étrangères et régionales",Technologies industrielles fondamentales,32,0.1074618846128014,1635.5
"Ressources humaines, gestion du personnel, gestion de l'emploi","Sciences sociales (y compris démographie, anthropologie)",31,0.10410370071865137,0.0
Spécialités plurivalentes des services,Spécialités plurivalentes sanitaires et sociales,31,0.10410370071865137,430.6
"Animation culturelle, sportive et de loisirs",Autres...,31,0.10410370071865137,84.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités plurivalentes des échanges et de la gestion,31,0.10410370071865137,62.8
Bâtiment: finitions,"Electricité, électronique (non compris automatisme et productique)",31,0.10410370071865137,284.25
"Commerce, vente","Français, littérature et civilisation françaises",31,0.10410370071865137,152.66666666666666
"Forêts, espaces naturels, faune sauvage, pêche","Productions végétales,cultures spécialisées",31,0.10410370071865137,157.66666666666666
"Aménagement paysager (parcs, jardins, espaces verts)","Commerce, vente",31,0.10410370071865137,77.5
"Forêts, espaces naturels, faune sauvage, pêche",Spécialités plurivalentes de l'agronomie et de l'agriculture,31,0.10410370071865137,971.0
"Secrétariat, bureautique",Techniques de l'imprimerie et de l'édition,31,0.10410370071865137,81.2
